item_id,label_0_total_usage,label_0_total_surgeries,label_0_average_usage,label_1_total_usage,label_1_total_surgeries,label_1_average_usage,label_2_total_usage,label_2_total_surgeries,label_2_average_usage,label_3_total_usage,label_3_total_surgeries,label_3_average_usage,label_4_total_usage,label_4_total_surgeries,label_4_average_usage,label_5_total_usage,label_5_total_surgeries,label_5_average_usage,label_6_total_usage,label_6_total_surgeries,label_6_average_usage,label_7_total_usage,label_7_total_surgeries,label_7_average_usage,label_8_total_usage,label_8_total_surgeries,label_8_average_usage,label_9_total_usage,label_9_total_surgeries,label_9_average_usage,label_10_total_usage,label_10_total_surgeries,label_10_average_usage,label_11_total_usage,label_11_total_surgeries,label_11_average_usage,label_12_total_usage,label_12_total_surgeries,label_12_average_usage,label_13_total_usage,label_13_total_surgeries,label_13_average_usage,label_14_total_usage,label_14_total_surgeries,label_14_average_usage,label_15_total_usage,label_15_total_surgeries,label_15_average_usage
38238,44.0,18038,0.002439294822042355,195.0,165,1.1818181818181819,58.0,28,2.0714285714285716,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38242,34.0,16925,0.0020088626292466766,1.0,1,1.0,2279.0,1114,2.045780969479354,512.0,189,2.708994708994709,4.0,2,2.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38246,22.0,18085,0.0012164777439867293,6.0,5,1.2,na,na,na,415.0,137,3.0291970802919708,19.0,4,4.75,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38247,25.0,18072,0.0013833554670208057,243.0,159,1.528301886792453,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38271,1225.0,17970,0.06816917084028937,331.0,157,2.1082802547770703,211.0,104,2.0288461538461537,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38272,333.0,18129,0.018368360086049976,117.0,62,1.8870967741935485,79.0,29,2.7241379310344827,40.0,11,3.6363636363636362,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38273,115.0,18055,0.006369426751592357,78.0,47,1.6595744680851063,206.0,107,1.925233644859813,33.0,22,1.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38276,229.0,18227,0.012563779009162232,2.0,1,2.0,na,na,na,5.0,3,1.6666666666666667,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38277,26.0,18169,0.0014310088612471794,17.0,8,2.125,1.0,1,1.0,16.0,8,2.0,24.0,6,4.0,163.0,39,4.17948717948718,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38279,435.0,17055,0.025505716798592787,1361.0,984,1.383130081300813,408.0,191,2.136125654450262,2.0,1,2.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38286,1633.0,16599,0.09837942044701488,1863.0,1225,1.5208163265306123,599.0,226,2.650442477876106,184.0,44,4.181818181818182,494.0,72,6.861111111111111,89.0,10,8.9,588.0,53,11.09433962264151,10.0,1,10.0,na,na,na,na,na,na,na,na,na,na,na,na,27.0,1,27.0,na,na,na,na,na,na,na,na,na
38288,815.0,17972,0.04534831960827954,245.0,210,1.1666666666666667,65.0,47,1.3829787234042554,na,na,na,4.0,2,2.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38318,63.0,18105,0.0034797017398508698,13.0,8,1.625,205.0,110,1.8636363636363635,na,na,na,30.0,8,3.75,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38321,218.0,18221,0.011964217112123374,12.0,8,1.5,na,na,na,na,na,na,9.0,2,4.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38421,865.0,18201,0.047524861271358715,9.0,4,2.25,11.0,6,1.8333333333333333,12.0,4,3.0,44.0,16,2.75,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38423,306.0,18220,0.016794731064763996,11.0,11,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
38425,584.0,18195,0.03209672987084364,32.0,32,1.0,4.0,4,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
39315,200.0,18014,0.011102475852115021,261.0,145,1.8,148.0,71,2.084507042253521,2.0,1,2.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
39317,1164.0,18037,0.06453401341686534,206.0,194,1.0618556701030928,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
40576,192.0,17823,0.0107725972058576,357.0,282,1.2659574468085106,301.0,72,4.180555555555555,223.0,45,4.955555555555556,51.0,9,5.666666666666667,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
40584,317.0,17921,0.01768874504770939,393.0,137,2.8686131386861313,451.0,144,3.1319444444444446,48.0,19,2.526315789473684,63.0,10,6.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
40585,216.0,18084,0.011944260119442602,181.0,142,1.2746478873239437,6.0,5,1.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
40609,167.0,18206,0.009172800175766231,85.0,24,3.5416666666666665,4.0,1,4.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
40611,24.0,17988,0.00133422281521014,248.0,237,1.0464135021097047,na,na,na,na,na,na,13.0,3,4.333333333333333,na,na,na,na,na,na,na,na,na,12.0,3,4.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
40943,25.0,17327,0.0014428348819761066,812.0,794,1.022670025188917,113.0,110,1.0272727272727273,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
41122,236.0,18231,0.012944983818770227,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
41755,46.0,18068,0.002545937569183086,167.0,163,1.0245398773006136,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
418,204.0,18021,0.011320126519061096,164.0,149,1.1006711409395973,62.0,61,1.0163934426229508,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
42317,19.0,18071,0.0010514083337944773,169.0,154,1.0974025974025974,16.0,6,2.6666666666666665,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
42325,105.0,18140,0.005788313120176406,194.0,90,2.1555555555555554,1.0,1,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
42329,60.0,18154,0.003305056736807315,186.0,77,2.4155844155844157,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
42345,480.0,17951,0.026739457411843352,150.0,94,1.5957446808510638,327.0,151,2.165562913907285,76.0,34,2.235294117647059,2.0,1,2.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
42349,349.0,17808,0.019597933513027854,545.0,187,2.914438502673797,557.0,208,2.6778846153846154,79.0,28,2.8214285714285716,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
42363,142.0,18178,0.007811640444493344,62.0,15,4.133333333333334,6.0,4,1.5,50.0,18,2.7777777777777777,12.0,3,4.0,3.0,1,3.0,28.0,9,3.111111111111111,9.0,3,3.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
42528,435.0,18191,0.023912923973393438,51.0,16,3.1875,13.0,4,3.25,na,na,na,32.0,14,2.2857142857142856,5.0,1,5.0,24.0,5,4.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
42532,121.0,18101,0.006684713551737473,178.0,93,1.913978494623656,59.0,37,1.5945945945945945,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
43973,405.0,18111,0.02236210038098393,142.0,109,1.3027522935779816,32.0,11,2.909090909090909,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44006,114.0,18128,0.006288614298323036,80.0,77,1.0389610389610389,26.0,26,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44031,102.0,17923,0.005691011549405792,244.0,211,1.1563981042654028,148.0,77,1.922077922077922,34.0,20,1.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44033,89.0,18060,0.0049280177187153934,167.0,166,1.0060240963855422,5.0,5,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44037,282.0,17773,0.015866764192876835,384.0,316,1.2151898734177216,223.0,142,1.5704225352112675,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44038,220.0,13616,0.01615746180963572,4631.0,4526,1.0231992929739284,147.0,89,1.651685393258427,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44057,101.0,18085,0.005584738733757258,130.0,129,1.0077519379844961,19.0,17,1.1176470588235294,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44165,3.0,17899,0.00016760712888988212,332.0,332,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44419,199.0,17559,0.011333219431630502,645.0,618,1.0436893203883495,55.0,54,1.0185185185185186,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44547,58.0,17966,0.0032283201603027943,242.0099999998,235,1.0298297872331914,45.0,30,1.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44644,547.0,17984,0.030415925266903916,308.0,223,1.3811659192825112,30.0,24,1.25,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
44680,292.0,17323,0.01685620273624661,1146.0,907,1.2635060639470783,1.0,1,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
