,pref_card,case_cart_id
157,"frozenset({'85321', '63955'})",2
158,"frozenset({'72759', '75937', '44038', '100933'})",9
159,"frozenset({'36309', '36308', '128816', '28441'})",1
160,"frozenset({'75937', '72759', '44038', '100933', '128816'})",2
161,"frozenset({'85321', '100127', '44038', '78573', '63955'})",1
162,"frozenset({'72759', '36309'})",1
163,"frozenset({'75937', '128816'})",1
164,"frozenset({'75937', '72759', '44038', '14031', '128816'})",2
165,"frozenset({'128816', '78573'})",2
166,"frozenset({'44038', '128816', '78573'})",5
167,"frozenset({'85321', '44038', '78573', '128816', '36308'})",2
168,"frozenset({'85321', '75937', '18666', '72759', '100933', '128816'})",5
169,"frozenset({'44038', '78573', '36308'})",1
170,"frozenset({'18666', '75937', '72759', '128816'})",105
171,"frozenset({'85321', '75937', '36309', '18666', '72759', '100933', '128816'})",2
172,"frozenset({'75937', '18666', '72759', '100933', '14031'})",12
173,"frozenset({'85321', '63955', '78573', '100127'})",1
174,"frozenset({'85321', '36309', '36308'})",1
175,"frozenset({'85321', '38271', '75131'})",1
176,frozenset({'37906'}),1
177,"frozenset({'139426', '36309', '36308'})",1
178,"frozenset({'85321', '36309', '28441', '78573', '35887'})",1
179,"frozenset({'80420', '37906'})",1
180,"frozenset({'75937', '78573'})",5
181,"frozenset({'85321', '35887', '36309', '63955', '36308'})",1
182,"frozenset({'85321', '75937', '72759', '100933', '14031'})",9
183,"frozenset({'72759', '75937', '80420'})",26
184,"frozenset({'36309', '75937', '72759', '100933', '14031'})",2
185,"frozenset({'85321', '75937', '72759', '14031', '38271'})",1
186,"frozenset({'36309', '75937', '18666', '72759', '100933', '78573', '128816'})",1
187,"frozenset({'38166', '75937', '36309', '72759', '14031', '128816'})",1
188,"frozenset({'72759', '128816', '85321'})",11
189,"frozenset({'85321', '78573', '35887', '128816', '63954', '80420'})",1
190,"frozenset({'85321', '36309', '75937', '18666', '72759', '100933', '78573'})",1
191,"frozenset({'85321', '36309', '18666', '44038', '14031', '78573', '63955', '36308'})",1
192,"frozenset({'85321', '75937', '18666', '72759', '128816', '38271'})",1
193,"frozenset({'75937', '72759', '14031', '44038', '100933', '128816'})",1
194,"frozenset({'85321', '75937', '72759', '14031', '100933', '128816'})",5
195,"frozenset({'85321', '75937', '18666', '72759', '14031'})",7
196,"frozenset({'85321', '37906', '28441', '78573', '35887', '80420'})",2
197,"frozenset({'100933', '72759', '80420'})",3
198,"frozenset({'85321', '36309', '80420', '35887'})",1
199,"frozenset({'72759', '75937', '38166'})",2
200,"frozenset({'85321', '75937', '72759'})",420
201,"frozenset({'85321', '75937', '72759', '14031', '128816'})",5
202,"frozenset({'85321', '78573', '28441'})",1
203,"frozenset({'75937', '72759', '128816', '28441'})",21
204,"frozenset({'85321', '36309', '75937', '18666', '72759', '14031'})",1
205,"frozenset({'85321', '36309', '100933'})",1
206,"frozenset({'44038', '78573', '35887'})",1
207,"frozenset({'85321', '139426', '28441', '44038', '14031', '36308'})",1
208,"frozenset({'85321', '36309', '75937', '72759', '78573'})",2
209,"frozenset({'72759', '75937', '128816', '85321'})",113
210,"frozenset({'85321', '44038', '63954', '35887'})",1
211,"frozenset({'75937', '18666', '72759', '14031', '128816'})",2
212,"frozenset({'85321', '44038', '36308', '28441'})",2
213,"frozenset({'85321', '75937', '72759', '100933', '128816'})",9
214,"frozenset({'36309', '75937', '72759', '100933'})",9
215,"frozenset({'85321', '28441'})",115
216,"frozenset({'75131', '75937', '72759', '100933', '44038'})",11
217,"frozenset({'85321', '36309', '44038', '78573', '1557', '128816'})",2
218,frozenset({'28441'}),45
219,"frozenset({'75937', '28441', '72759', '100933', '128816'})",5
220,"frozenset({'85321', '36309', '75937', '18666', '72759', '100933'})",3
221,"frozenset({'85321', '28441', '75131'})",1
222,"frozenset({'72759', '75937', '44038', '75131'})",10
223,"frozenset({'36309', '36308', '35887', '63955'})",1
224,"frozenset({'85321', '75937', '18666', '72759', '14031', '100933'})",1
225,"frozenset({'75937', '18666', '72759', '100933', '128816'})",5
226,"frozenset({'85321', '44038', '78573', '63954', '35887', '128816', '80420'})",1
227,"frozenset({'75937', '36309', '18666', '72759', '100933'})",21
228,"frozenset({'72759', '100933', '75937', '14031'})",57
229,"frozenset({'85321', '78573', '36308', '35887'})",1
230,"frozenset({'85321', '44038', '80420', '78573'})",1
231,"frozenset({'18666', '75937', '72759', '14031'})",23
232,"frozenset({'85321', '78573', '36308'})",2
233,"frozenset({'85321', '75937', '72759', '28441'})",25
234,"frozenset({'85321', '75937', '28441', '18666', '72759', '100933'})",78
235,"frozenset({'38166', '28441'})",22
236,"frozenset({'85321', '28441', '44038', '78573', '35887', '1557'})",41
237,"frozenset({'85321', '63954'})",2
238,"frozenset({'85321', '63954', '80420', '35887'})",13
239,"frozenset({'85321', '78573'})",94
240,"frozenset({'85321', '63954', '78573'})",12
241,"frozenset({'85321', '78573', '35887'})",23
242,"frozenset({'85321', '44038', '38271'})",5
243,"frozenset({'85321', '139426', '36309', '36308'})",1
244,"frozenset({'36308', '38271'})",8
245,"frozenset({'85321', '28441', '35887'})",72
246,"frozenset({'85321', '139426', '44038', '79280'})",6
247,"frozenset({'85321', '36309', '80420', '36308'})",9
248,"frozenset({'36309', '14031', '80420', '36308'})",5
249,"frozenset({'85321', '139426', '38271', '36309', '28441', '36308'})",6
250,"frozenset({'78573', '37906'})",76
251,"frozenset({'85321', '80420', '78573', '28441'})",32
252,"frozenset({'139426', '44038', '79280', '38271'})",2
253,frozenset({'36308'}),34
254,"frozenset({'139426', '44038', '36308'})",23
255,"frozenset({'85321', '44038'})",769
256,"frozenset({'85321', '44038', '78573', '63955'})",24
257,"frozenset({'85321', '28441', '44038', '78573', '35887'})",6
258,"frozenset({'85321', '139426', '38271', '44038', '79280'})",1
259,"frozenset({'85321', '28441', '44038', '78573', '80420'})",34
260,"frozenset({'85321', '139426', '35887', '100127'})",2
261,"frozenset({'85321', '139426', '38166'})",7
262,"frozenset({'36309', '128816', '36308', '63955'})",1
263,"frozenset({'80420', '78573', '35887'})",25
264,"frozenset({'139426', '36308', '28441'})",12
265,"frozenset({'85321', '139426', '28441', '44038', '38271'})",22
266,"frozenset({'85321', '44038', '80420'})",181
267,"frozenset({'85321', '44038', '78573', '35887', '63954', '80420'})",6
268,"frozenset({'85321', '139426', '28441', '44038', '36308'})",6
269,"frozenset({'85321', '139426', '14031'})",4
270,"frozenset({'85321', '139426', '38271', '44038', '14031', '36308'})",2
271,frozenset({'80420'}),244
272,"frozenset({'85321', '80420'})",718
273,"frozenset({'38166', '28441', '35887'})",7
274,"frozenset({'139426', '38271'})",14
275,"frozenset({'38271', '139426', '44038', '36308'})",44
276,"frozenset({'85321', '139426', '38271', '36309', '44038', '36308'})",11
277,"frozenset({'85321', '44038', '35887'})",9
278,"frozenset({'36309', '44038', '36308', '63955'})",33
279,frozenset({'78573'}),2
280,"frozenset({'85321', '28441', '44038', '35887', '80420'})",28
281,"frozenset({'85321', '44038', '78573', '35887'})",8
282,"frozenset({'85321', '80420', '78573', '35887'})",12
283,"frozenset({'85321', '36309', '28441', '44038', '35887', '80420', '36308'})",3
284,"frozenset({'44038', '78573'})",140
285,"frozenset({'85321', '78573', '35887', '80420', '36308'})",3
286,"frozenset({'85321', '44038', '78573'})",1151
287,"frozenset({'85321', '36309', '44038', '78573', '1557'})",11
288,"frozenset({'80420', '78573'})",342
289,"frozenset({'85321', '80420', '78573'})",72
290,"frozenset({'85321', '35887', '44038', '78573', '63955'})",5
291,"frozenset({'85321', '75937', '28441', '72759', '44038', '100933'})",1
292,"frozenset({'63954', '78573', '35887'})",5
293,"frozenset({'85321', '139426', '36308', '28441', '44038', '38271'})",21
294,"frozenset({'63954', '78573'})",20
295,"frozenset({'85321', '128816', '78573', '44038'})",93
296,"frozenset({'85321', '44038', '78573', '28441'})",8
297,"frozenset({'85321', '28441', '44038', '78573', '35887', '80420'})",31
298,"frozenset({'85321', '139426', '36309', '44038', '36308'})",25
299,"frozenset({'85321', '44038', '78573', '35887', '63955', '80420'})",19
300,"frozenset({'85321', '139426', '44038', '14031', '36308'})",27
301,"frozenset({'85321', '44038', '14031', '75131'})",46
302,"frozenset({'63954', '36308'})",50
303,"frozenset({'85321', '139426', '100127'})",22
304,"frozenset({'85321', '28441', '44038', '35887', '1557'})",23
305,"frozenset({'85321', '44038', '80420', '28441'})",74
306,"frozenset({'85321', '139426', '44038', '28441'})",9
307,frozenset({'79280'}),8
308,"frozenset({'139426', '44038', '79280'})",43
309,"frozenset({'139426', '36308', '36309', '44038', '79280'})",1
310,"frozenset({'36309', '80420', '36308'})",125
311,"frozenset({'36309', '63954', '36308'})",33
312,"frozenset({'85321', '44038', '28441'})",125
313,"frozenset({'85321', '139426', '44038'})",24
314,"frozenset({'85321', '139426', '44038', '36308'})",294
315,"frozenset({'85321', '1557', '44038', '78573'})",96
316,"frozenset({'85321', '36309', '44038', '78573'})",400
317,"frozenset({'85321', '44038', '35887', '63954', '80420'})",7
318,frozenset({'38271'}),10
319,"frozenset({'85321', '75937', '28441', '72759', '14031', '128816'})",1
320,frozenset({'75131'}),64
321,"frozenset({'85321', '75937', '28441', '72759', '14031'})",5
322,"frozenset({'85321', '38271'})",9
323,"frozenset({'85321', '139426'})",98
324,"frozenset({'85321', '139426', '44038', '38271'})",60
325,frozenset({'38166'}),22
326,"frozenset({'139426', '100127'})",7
327,"frozenset({'85321', '28441', '78573', '35887', '80420'})",69
328,frozenset({'1557'}),1
329,"frozenset({'85321', '139426', '38166', '44038', '36308'})",13
330,"frozenset({'85321', '44038', '28441', '35887'})",23
331,"frozenset({'78573', '28441'})",6
332,"frozenset({'85321', '36309', '44038', '78573', '63955', '36308'})",5
333,"frozenset({'14031', '78573', '37906'})",9
334,frozenset({'139426'}),62
335,"frozenset({'85321', '139426', '38271'})",48
336,"frozenset({'85321', '139426', '36308', '44038', '38271'})",82
337,"frozenset({'85321', '139426', '36308', '28441', '38271'})",16
338,"frozenset({'85321', '44038', '75131'})",15
339,"frozenset({'80420', '78573', '37906'})",6
340,"frozenset({'36308', '37906'})",32
341,"frozenset({'85321', '139426', '38271', '36309', '36308'})",8
342,"frozenset({'85321', '80420', '36308'})",9
343,"frozenset({'85321', '139426', '36308', '28441', '44038', '35887', '38271'})",28
344,"frozenset({'85321', '36309', '28441', '35887', '80420', '36308'})",17
345,"frozenset({'36309', '63954', '36308', '35887'})",6
346,"frozenset({'44038', '36308', '63955'})",65
347,"frozenset({'85321', '139426', '36308', '36309', '28441', '44038', '38271'})",21
348,"frozenset({'85321', '139426', '38271', '35887', '63954', '36308'})",1
349,"frozenset({'44038', '14031', '36308', '63955'})",67
350,"frozenset({'85321', '80420', '28441', '35887'})",65
351,"frozenset({'36308', '80420', '63954'})",1
352,"frozenset({'85321', '139426', '38166', '38271', '44038', '36308'})",1
353,"frozenset({'85321', '18666', '44038', '78573', '63955'})",3
354,"frozenset({'85321', '75937', '28441', '72759', '100933', '128816'})",15
355,"frozenset({'36308', '63954', '38271'})",1
356,"frozenset({'85321', '18666', '44038', '14031', '63955'})",7
357,"frozenset({'85321', '36309', '18666', '44038', '14031', '63955', '36308'})",1
358,"frozenset({'72759', '75937', '14031', '128816'})",37
359,"frozenset({'75937', '72759', '100933', '14031', '128816'})",72
360,"frozenset({'85321', '36309', '44038', '78573', '128816', '36308'})",8
361,"frozenset({'36309', '128816', '28441'})",2
362,"frozenset({'85321', '80420', '28441'})",10
363,"frozenset({'85321', '36309', '28441', '80420', '36308'})",2
364,frozenset({'35887'}),3
365,"frozenset({'72759', '75937', '100933', '128816'})",82
366,"frozenset({'85321', '18666', '78573', '35887', '63955'})",1
367,"frozenset({'85321', '78573', '35887', '37906'})",2
368,"frozenset({'85321', '139426', '28441', '44038', '14031', '38271'})",1
369,"frozenset({'85321', '35887'})",5
370,"frozenset({'85321', '63955', '35887'})",1
371,"frozenset({'85321', '28441', '44038', '78573', '35887', '80420', '36308'})",1
372,"frozenset({'36309', '44038', '14031', '63955', '36308'})",2
373,"frozenset({'80420', '78573', '28441', '35887'})",9
374,"frozenset({'36309', '44038', '78573', '28441'})",10
375,"frozenset({'85321', '72759', '75937', '14031'})",16
376,"frozenset({'85321', '75131', '36309', '44038', '14031'})",1
377,"frozenset({'85321', '1557', '28441'})",7
378,"frozenset({'85321', '28441', '78573', '35887', '1557', '80420'})",7
379,"frozenset({'72759', '75937', '128816'})",184
380,"frozenset({'85321', '36309', '18666', '44038', '78573'})",7
381,"frozenset({'85321', '44038', '78573', '35887', '128816'})",1
382,"frozenset({'18666', '44038', '78573', '85321'})",12
383,"frozenset({'85321', '75937', '28441', '72759', '100933'})",292
384,frozenset({'63954'}),18
385,"frozenset({'85321', '63955', '78573', '35887'})",5
386,"frozenset({'85321', '44038', '78573', '35887', '80420'})",3
387,"frozenset({'139426', '35887'})",3
388,"frozenset({'85321', '36309', '44038', '128816'})",3
389,"frozenset({'85321', '36309', '18666', '44038', '78573', '128816'})",10
390,"frozenset({'85321', '44038', '35887', '1557', '80420'})",5
391,"frozenset({'85321', '139426', '38166', '36309', '44038', '36308'})",1
392,"frozenset({'85321', '139426', '28441', '44038', '1557', '36308'})",9
393,"frozenset({'72759', '18666', '75937'})",167
394,"frozenset({'85321', '28441', '44038', '80420', '36308'})",4
395,"frozenset({'63954', '28441'})",1
396,"frozenset({'85321', '63954', '78573', '28441'})",1
397,"frozenset({'85321', '44038', '78573', '35887', '63954'})",3
398,"frozenset({'85321', '36309', '78573'})",6
399,"frozenset({'85321', '128816', '44038', '38271'})",1
400,"frozenset({'72759', '75937', '14031'})",176
401,"frozenset({'85321', '128816', '63954', '78573'})",2
402,"frozenset({'36308', '36309', '80420', '28441'})",1
403,"frozenset({'85321', '28441', '44038', '78573', '35887', '1557', '80420'})",7
404,"frozenset({'85321', '100127'})",3
405,"frozenset({'85321', '44038', '78573', '37906'})",1
406,"frozenset({'85321', '1557', '44038'})",24
407,"frozenset({'36309', '28441', '44038', '80420', '36308'})",1
408,"frozenset({'85321', '139426', '36309', '44038', '1557', '36308'})",1
409,"frozenset({'44038', '80420', '78573', '35887'})",2
410,"frozenset({'63954', '36308', '35887'})",5
411,"frozenset({'85321', '14031', '36308', '63955'})",1
412,"frozenset({'36309', '44038', '78573'})",60
413,"frozenset({'36309', '80420', '36308', '35887'})",2
414,"frozenset({'85321', '36309', '75131'})",6
415,"frozenset({'85321', '139426', '44038', '1557', '36308'})",16
416,"frozenset({'85321', '36309', '128816'})",45
417,"frozenset({'85321', '36309', '44038'})",29
418,"frozenset({'85321', '36309', '128816', '78573'})",76
419,"frozenset({'85321', '36309', '44038', '78573', '128816'})",364
420,"frozenset({'85321', '44038', '63955'})",10
421,"frozenset({'85321', '18666', '44038', '14031', '78573', '63955'})",3
422,frozenset({'36309'}),41
423,"frozenset({'36309', '36308', '35887'})",4
424,"frozenset({'36308', '28441'})",43
425,"frozenset({'85321', '35887', '36309', '44038', '63955', '80420', '36308'})",10
426,"frozenset({'85321', '139426', '100127', '36309', '44038'})",2
427,"frozenset({'85321', '44038', '14031', '78573', '63955'})",18
428,"frozenset({'72759', '75937', '100933'})",1113
429,"frozenset({'36309', '28441'})",25
430,"frozenset({'14031', '37906'})",28
431,"frozenset({'85321', '28441', '44038', '35887', '1557', '80420'})",15
